AuthorsWhoPublishedContinually
Abdellatif Zaidi
Alex Pentland
Andrzej Skowron
Bernhard Schölkopf
Björn E. Ottersten
Calin Belta
Christian S. Jensen
Constantine Caramanis
Dacheng Tao
Deniz Gündüz
Elisa Bertino
Elza Erkip
Erik D. Demaine
Giuseppe Caire
Huamin Qu
Hyokyung Bahn
James F. Peters
Jen-Chih Yao
Jiebo Luo
Johannes Klaus Fichte
Joseph Y. Halpern
Joël Ouaknine
Jure Leskovec
Kannan Ramchandran
Krishnendu Chatterjee
Lenka Zdeborová
Mark M. Wilde
Mason A. Porter
Michael L. Nelson
Mirco Musolesi
Mohamed-Slim Alouini
Mohammed Nafie
Nikolaos Thomos
Ohad Shamir
Olgica Milenkovic
Osvaldo Simeone
Panos M. Pardalos
Peter Mertens
Petr N. Vabishchevich
Philip S. Yu
Qi Tian 0001
Richard G. Baraniuk
Robert W. Heath Jr.
Rocco A. Servedio
Ruslan Salakhutdinov
Shixia Liu
Shlomo Havlin
Shlomo Shamai
Shuicheng Yan
Sriram Vishwanath
Sung-Jea Ko
Tong Zhang 0001
Travis Gagie
Tuvi Etzion
Wang-Chien Lee
Wei Chen
Xiaofang Zhou 0001
Xin Yao 0001
Yan Wang
Yoshua Bengio
Zhangming Zhu
Zhao Zhang 0002
Zhu Han
Agustin Riscos-Núñez
Alberto Leporati
Alessio Lomuscio
Ali Taylan Cemgil
Andreas Jakobsson
Andrew Zisserman
Antonio Napolitano 0001
Artiom Alhazov
Aydin Akan
Bogdan Dumitrescu
Ching Y. Suen
Claudio Zandron
Dennis Sylvester
Dieter Schmalstieg
Dongmo Zhang
Edwin R. Hancock
Emilio Corchado
Eric Grivel
Erich Kaltofen
Fatos Xhafa
Florentin Ipate
Florian Roemer
Geoffrey D. Sullivan
Giancarlo Mauri
H. Van Dyke Parunak
Hans W. Guesgen
Ismaïl Biskri
J. Edward Swan II
Jakub Lokoc
Jana Dittmann
Jaroslaw Szlichta
Javier Vázquez-Salceda
Jean-Charles Faugère
Jie Li
John K. Debenham
Kagan Tumer
Karim Abed-Meraim
Katia P. Sycara
Klaus Marquardt
Liang Chen
Love Ekenberg
M. Birna van Riemsdijk
Marco A. Casanova
Maria L. Gini
Mehdi Dastani
Michael J. Wooldridge
Michael Mateas
Mohamed S. Kamel
Nathan Griffiths
Neil Yorke-Smith
Patrick A. Naylor
Paul L. Rosin
Paul Scerri
Pedro Henrique Gouvea Coelho
Petar M. Djuric
Pierangelo Veltri
Pierre Comon
Pietro Hiram Guzzi
Radu Nicolescu
Rainer Knauf
Roberto Cipolla
Sascha Ossowski
Simon Miles
Svetlana Simic
Timothy J. Norman
Toby Walsh
Toon van Waterschoot
Tuomas Virtanen
Vincent Conitzer
Werner M. Seiler
Wiebe van der Hoek
Yao-Wen Chang
Ahmed Amine Jerraya
Ales Ude
Alessandro Orso
Alexander F. Gelbukh
Andreas Hotho
Andrew Zisserman
András A. Benczúr
Anton van den Hengel
Arie E. Kaufman
Bamshad Mobasher
Bodo Rosenhahn
Burkhard Stiller
Changsheng Xu
Christa Womser-Hacker
Christian A. Duncan
Claudia Leacock
Csaba D. Tóth
David A. Forsyth
Dennis Sylvester
Dietmar Jannach
Dimitris N. Metaxas
Domonkos Tikk
Ed Dawson
Eiichi Yoshida
Eric A. M. Klumperink
Fabio Persia
Fabrizio Frati
Felip Manyà
Fernando Llopis
Francesco Ricci 0001
G. Dick van Albada
Gang Hua 0001
Gareth J. F. Jones
Giorgio Metta
Giuseppe Di Battista
Gordon Fraser
Géza Tóth 0001
Hai Zhuge
Haibin Ling
Hajime Machida
Hanqing Lu
Henning Müller
Hideharu Amano
Hiroki Ishikuro
Hoi-Jun Yoo
Honghai Liu
Horst Bischof
Ivo G. Rosenberg
Jaakko Astola
Jack J. Dongarra
Jan Martinovic
Jing Li
Jitendra Malik
Johannes Leveling
Julio Villena-Román
