Venue,LeastAuthorPublicationTitle
article,article Summaries.
article,Letters.
article,Why is Requirements Engineering Underused?
article,Calendar of Events
article,Announcements.
article,Announcements.
article,Problems and Solutions.
article,Remarks on the ACM SIGIR Conference in Pisa
article, September 1986.
article,Book Reviews.
article,In the News.
article,Introducing the Boards - IEEE Software Editorial Board and Industry Advisory Board Members.
article,In the News.
article,Title.
article,Proposal to dissolve SIGAPL.
article,Minutes SIGIR Business Meeting 1982 / SIGIR News.
article,Extracting User Interests on Facebook.
article,Photoshop scalability
book,property Testing - Current Research and Surveys
incollection,Anonymized Data.
incollection,Smart/Algorithmic Denial of Service.
incollection,Variance Hint.
incollection,Learning Vector Quantization.
incollection,Using Efficient Database Technology (DB) for Effective Information Retrieval (IR) of Semi-Structured Text.
incollection,Addition and Subtraction of Matrices.
incollection,Clustering Evaluation.
incollection,Multitype.
incollection,Event Analysis on Social Media.
incollection,Markov Graphs.
incollection,True Negative Rate.
incollection,Communication.
incollection,User-Centered Pattern Detection.
incollection,Online Collaboration.
incollection,Quantitative Political Science.
incollection,Social Media.
incollection,Starting Clause.
incollection,Causal Discovery.
incollection,Bootstrap Aggregating.
incollection,Functional Trees.
incollection,Subgraph Discovery.
incollection,Collaborative Editing.
incollection,Elementary Matrix.
incollection,Multiparty Computation (MPC).
incollection,Target Collision Resistant Hash Function.
incollection,Morphosyntactic Disambiguation.
incollection,Resistance to the Standard Algebraic Attack.
incollection,Crossbar.
incollection,Real-Time Recombination.
incollection,Old Boys Network.
incollection,Locks.
incollection,Spatial Item Recommendation.
incollection,Entity Extraction.
incollection,Community Climate System Model (CCSM).
incollection,EPN.
incollection,Dependence Approximation.
incollection,Cray MTA.
incollection,Minimum Cuts.
incollection,Subgraph Matching.
incollection,Research in Network Visualization.
incollection,Simple Event.
incollection,Scene Change Detection.
incollection,New City Recommendation.
incollection,Social Selection.
incollection,Blackhole Pattern.
incollection,Tactile.
incollection,MDS.
incollection,Trust Anchor.
incollection,AMG.
incollection,Relationships.
incollection,Prevention.
incollection,Filter/Refinement Query Processing.
incollection,Dynamic Social Networks.
incollection,Item.
incollection,Social Theory.
incollection,Regression Line.
incollection,Learning to Learn.
incollection,Actor-Network Theory.
incollection,Visualization Framework.
incollection,Social Influence Propagation Model.
incollection,Evolution of Privacy Settings.
incollection,Encryption.
incollection,JSF.
incollection,Mobile Recommendation.
incollection,Avatar.
incollection,Dewey Decimal Classification.
incollection,TDIDT Strategy.
incollection,Electronic Libraries.
incollection,XML Data Integration.
incollection,Evolutionary Computing.
incollection,Relational Data Mining.
incollection,Developer Collaboration Network.
incollection,Ordering.
incollection,XQuery Compiler.
incollection,Spatial Analysis.
incollection,Offline Learning.
incollection,Data Imputation.
incollection,Physician Order Entry.
incollection,Distributed Sensor Fusion.
incollection,Graph Classification.
incollection,Global Arrays.
incollection,Annotations.
incollection,Recommender Systems.
incollection,Access Control Rules.
incollection,Symbolic Regression.
incollection,Learning from Labeled and Unlabeled Data.
incollection,Samuel's Checkers Player.
incollection,Spectral Clustering.
incollection,Video Data Modeling.
incollection,Parallel Processing.
incollection,Probabilistic Model of Indexing.
incollection,Controlled Vocabularies.
incollection,Gaussian Processes.
incollection,XSS.
incollection,Web Penetration Test.
incollection,Holdout Data.
incollection,Recovery Manager.
incollection,Weak Collision Resistance.
incollection,Multistrategy Ensemble Learning.
incollection,Characteristic.
incollection,Graph Clustering.
incollection,Snowflake Join Schema.
incollection,Computerized Provider Order Entry.
incollection,Prior.
incollection,RBAC Standard.
incollection,Valid-Time Algebras.
incollection,Biased Graph.
incollection,Penetration Testing.
incollection,Web 2.0.
incollection,Signatures.
incollection,Citizen Sensing.
incollection,Faceted Classifications.
incollection,Gibbs Sampler.
incollection,Sociology of the Web.
incollection,Learning from Non-Propositional Data.
incollection,McDiarmid's Inequality.
incollection,Chains.
incollection,Markov Network.
incollection,Polarity Distribution.
incollection,Traditional Data Replication.
incollection,Document Term Weighting.
incollection,Patient Similarity.
incollection,Crime Prevention.
incollection,Adaboost.
incollection,Indexing for Similarity Search.
incollection,Quantum Chemistry.
incollection,Distributed Memory Computers.
incollection,ARP Poison Routing (APR).
incollection,Higher-Order Entity-Relationship Model.
incollection,Net Lift Modeling.
incollection,Quantum Chromodynamics (QCD) Computations.
incollection,Microtext.
incollection,RNN Query.
incollection,Business Marketing.
incollection,Legislative Vote Prediction.
incollection,Social Communities Competition.
incollection,R&D (Research and Development) Collaborations.
incollection,Safety.
incollection,Online Social Networks' Concepts.
incollection,Graph.
incollection,Semantic Web Service Composition.
incollection,Document Model.
incollection,Knowledge Discovery in Networks.
incollection,Social Content Search.
incollection,Event Driven Service-oriented Architecture.
incollection,Query Suggestion.
incollection,Probabilistic Relational Models.
incollection,Meso-Scale Structures in Crowd.
incollection,Secure Hardware.
incollection,Performance Metrics.
incollection,Time-Dependent Networks.
incollection,Large-Scale Network.
incollection,DLP.
incollection,Multi-objective Optimization.
incollection,Ties.
incollection,YouTube.
incollection,Attribute Selection.
incollection,AP@n.
incollection,Semi-Structured Query Languages.
incollection,Synchronous Join.
incollection,DAS.
incollection,Service Orchestration.
incollection,Parallel Ocean Program (POP).
incollection,k-Closest Pair Join.
incollection,Lineage.
incollection,Bookmarks.
incollection,Multigraph.
incollection,Principal Component Method.
incollection,Organizational Design.
incollection,Network Social Capital.
incollection,Online.
incollection,Derived Event.
incollection,Network Mining.
incollection,Relational Data Mining.
incollection,Temporal Logic.
incollection,Data Mining and Knowledge Discovery in Economic Networks.
incollection,Hidden Role.
incollection,Knowledge Management.
incollection,MM Indexing.
incollection,Search Engine.
incollection,Social Trust.
incollection,TP.
