Venue,MaxAuthorPublicationTitle
article,A promoter-level mammalian expression atlas.
book,Database Design - Know It All.
incollection,Dual-Arm Construction Robot with Remote-Control Function.
inproceedings,The Seventh Visual Object Tracking VOT2019 Challenge Results.
phdthesis,	Ein Beitrag zur rechnergestützten Instandhaltung von Seeschiffen.
phdthesis,Der Beitrag nominaler Kohärenz zu Organisation und Struktur englischer Texte
phdthesis, ermittelt unter Einbeziehung mathematischer Methoden.
phdthesis,Stichplanoptimierung als wichtiges Mittel zur Projektierung
phdthesis, beim Betrieb und bei der Automatisierung von Kaltwalz-Reversierwalzwerken.
phdthesis,Neue Herangehensweisen im Rahmen der Implementierung einer portablen
phdthesis,flexiblen und integrierten Software-Entwicklungsumgebung für die digitale Bildverarbeitung.
phdthesis,Wege zur Erhöhung von Entscheidungsbezogenheit und Rationalität der Warenrechnung im bezirksgeleiteten sozialistischen Konsumgütereinzelhandel unter Berücksichtigung der Entwicklungstendenzen der elektronischen Datenverarbeitung.
phdthesis,Erstellen einer Datenbank für ein computergestütztes Literaturrecherchesystem zur Ätiologie
phdthesis,Diagnostik und Therapie von Missbildungen im Kopf-Hals-Bereich
proceedings,Parallel and Distributed Processing
proceedings,11 IPPS/SPDP'99 Workshops Held in Conjunction with the 13th International Parallel Processing Symposium and 10th Symposium on Parallel and Distributed Processing
proceedings,San Juan
proceedings,Puerto Rico
proceedings,USA
proceedings,April 12-16
proceedings,1999
phdthesis,	Durchgängig rechnerunterstützte technologische Fertigungsvorbereitung unter besonderer Berücksichtigung der Arbeitsgangfolgeermittlung.
phdthesis,Méthodologie d'écriture de compilateurs - une expérience du langage ALGOL 68.
phdthesis,Prozessrechnergestütztes Experimentalsystem für den Einsatz in der tierexperimentellen Hypertonieforschung
phdthesis,ein Beitrag zur Experiment-Automatisierung in der biomedizinischen Grundlagenforschung.
phdthesis,Problemorientierte Programmiersprache zur Mass-
phdthesis,Form- und Lagebestimmung von punktweise auf Koordinatenmessgeräten erfassten Prüflingen.
proceedings,On the Move to Meaningful Internet Systems 2005
article,A structural variation reference for medical and population genetics.
book,The Munich Project CIP
book,Volume I
incollection,Methods for the Design and Development.
inproceedings,The Sixth Visual Object Tracking VOT2018 Challenge Results.
mastersthesis,Portierung des DBLP-Systems auf ein relationales Datenbanksystem und Evaluation der Performance.
mastersthesis,Efficient View Maintenance at Data Warehouses.,PRPL
proceedings,On the Move to Meaningful Internet Systems 2005
