Venue, TopPublishAuthors
article, H. Vincent Poor
book, Lakhmi C. Jain
incollection, Songsak Sriboonchitta
inproceedings, Dinggang Shen
mastersthesis, Peter Van Roy
mastersthesis, Rodrigo Pastl Pontes
mastersthesis, Satyan R. Coorg
mastersthesis, Oliver Hoffmann 0002
mastersthesis,Stephan Vollmer
article,T. D. Wilson 0001
book, Gottfried Vossen
incollection, Patricia Melin
inproceedings, Toshio Fukuda
inproceedings, Adriano Camps
phdthesis, François Rodriguez
phdthesis, Luc Boasson
phdthesis, Andreas Ibing
phdthesis, Andreas Meissner
phdthesis, Detlef Lehmann
phdthesis, Dieter Hammer
phdthesis, Eberhard Ziegler
phdthesis, Fabian J. Theis
phdthesis, Gabrièle Saucier
phdthesis, Günther Bauer 0003
phdthesis, Hans Fuchs
phdthesis, Hans-Jürgen Seelos
phdthesis, Hans-Peter Lipp
phdthesis, Jean-Claude Latombe
phdthesis, Jerzy Wróbel
phdthesis, Karama Kanoun
phdthesis, Luc Bougé
phdthesis, Marc Duc-Jacquet
phdthesis, Martin Gogolla
phdthesis, Matthias Bär
phdthesis, Michel Lucas
phdthesis, Nguyen Anh Tuan 0001
phdthesis, Peter Gibas
phdthesis, Peter Heblik
phdthesis, Peter Otto
phdthesis, Ralph Stelzer
phdthesis, Reinhard Keil 0002
phdthesis, René Blacher
phdthesis, Ricardo Ruiz-Baier
phdthesis, Robert Charuel
phdthesis, Roman Stryjski
phdthesis, Ronald Schoop 0001
phdthesis, Stephan Waack
phdthesis, Vincent Quint
phdthesis, Wolfgang Matthes
proceedings, Osvaldo Gervasi
phdthesis, Abbas Dandache
phdthesis, Amalya Mihnea
phdthesis, Andreas Kossow
phdthesis, Bernd Göde
phdthesis, Bernd Viehweger
phdthesis, Christian Horn
phdthesis, Detlev Schmidt
phdthesis, Dieter Carl
phdthesis, Elke Wetzenstein-Ollenschläger
phdthesis, Emmanuel Hooper
phdthesis, Günther Krause
phdthesis, Heidrun Schumann
phdthesis, Helfried Richter
phdthesis, Helmut Geilert
phdthesis, Hoang Xuan Phu
phdthesis, Joachim Fischer
phdthesis, Jürgen Schönherr
phdthesis, Klaus Ristau
phdthesis, Manuel Joiko
phdthesis, Marcus Ermler
phdthesis, Mengmeng Wang
phdthesis, Olivier Lecarme
phdthesis, Peter Banda
phdthesis, Rainer Schulze 0001
phdthesis, Raymond A. Marie
phdthesis, Sabine Thürmel
phdthesis, Serge Dégerine
phdthesis, Thorsten Pöschel
phdthesis, Wolfgang Herrmann
phdthesis, Wolfgang Krenkel]
proceedings, Beniamino Murgante
proceedings, Bernady O. Apduhan
